popular_similar_charities,rated_similar_charities,charity_url,charity_phoneNumber,charity_Name,homepage_Link,transperancy_Stars,agent_contactEmail,overall_starRating,charity_address
"Ronald McDonald House Charities,Children's Miracle Network Hospitals,Texas Stampede,Joy for Our Youth","Children's Miracle Network Hospitals,Our Military Kids,Youth, I.N.C.,Kansas 4-H Foundation, Inc.  ",,"
			tel: (678) 514-5158",Arby's Foundation,http://www.arbysfoundation.org/,77.00,,78.98,"
		
			1155 Perimeter Center West,
			Suite 1200, Atlanta, GA 30338"
"Armed Services YMCA,YMCA of Greater Boston,YWCA USA,National Council of YMCAs of the USA","Jewish Community Association of Austin,YMCA of Metropolitan Milwaukee,YMCA of Metropolitan Los Angeles,Greater Joliet Area YMCA",, fax: (212) 415-5671,The 92nd Street Y,http://www.92y.org,90.00,,91.13,"
		
			1395 Lexington Avenue,
			New York, NY 10128    ,
			tel: (212) 415-5678"
"American Bar Association Fund for Justice and Education,Law Enforcement Legal Defense Fund,Advocates for Children of New York,HALT","Public Counsel,Mississippi Center for Justice,Legal Aid of Western Missouri,Philadelphia Volunteers for the Indigent Program",," 
            ",Ayuda,,96.00,,93.02,"
		
			6925 B Willow Street, NW,
			Washington, DC 20012,
			tel: (202) 387-4848"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Forward Edge International,Resourcing Christian Education International,Youth for Christ/USA, Inc.,Bright Hope International",, fax: (877) 292-6232,Awana,"http://www.awana.org,#",81.00,,85.52,"
		
			One East Bode Road,
			Streamwood, IL 60107    ,
			tel: (800) 222-9262"
"Christian Appalachian Project,Baby Buggy,Society of St. Vincent de Paul of Portland, Oregon,Society of St. Vincent de Paul - Phoenix","MIFA (Metropolitan Inter-faith Association),Crisis Assistance Ministry,Crisis Control Ministry,Barnabas Center",,": 45-3446373
			",50 Legs in 50 Days,,,,85.36,"
		
			315 Bahia Vista Drive,
			Indian Rocks Beach, FL 33785,
			
            "
"Earthjustice,Union of Concerned Scientists,Environmental Working Group,Center for Biological Diversity ","Trustees for Alaska,Sustainable Northwest,Center for Biological Diversity ,Southern Utah Wilderness Alliance",,"
			tel: (503) 497-1000",1000 Friends of Oregon,http://www.friends.org,83.00,,81.67,"
		
			534 Southwest Third Avenue,
			Suite 300, Portland, OR 97204"
"FIRST,DonorsChoose.org,Kids In Need Foundation,Adopt-A-Classroom","DonorsChoose.org,Playworks,Higher Achievement,Crayons to Computers",,"
			tel: (646) 346-1310",A Better Chance,http://www.abetterchance.org,93.00,,84.31,"
		
			253 West 35th Street,
			6th Floor, New York, NY 10001"
"Palestine Children's Relief Fund,Invisible Children,United Palestinian Appeal, Inc.,Sudan Relief Fund","The Lambi Fund of Haiti,United Palestinian Appeal, Inc.,Fonkoze USA,Association for India's Development",,"
			tel: (800) 573-9057",B'nai B'rith International,http://bnaibrith.org,89.00,,72.73,"
		
			2020 K Street, NW,
			7th Floor, Washington, DC 20006"
"Autism Research Institute,Christopher & Dana Reeve Foundation,Children's Tumor Foundation,Pediatric Brain Tumor Foundation","Mesothelioma Applied Research Foundation,The Jackson Laboratory,Brain & Behavior Research Foundation,International Rett Syndrome Foundation",, fax: (949) 756-5955,Cystinosis Research Foundation,http://www.cystinosisresearch.org,78.00,,76.38,"
		
			18802 Bardeen Avenue,
			Irvine, CA 92612,
			tel: (949) 223-7610"
"Catholic Charities of the Archdiocese of Galveston-Houston,Catholic Community Foundation,Associated Catholic Charities, Archdiocese of Baltimore,Catholic Charities Archdiocese of New Orleans","Catholic Charities Archdiocese of New Orleans,Episcopal Charities of the Diocese of New York,Catholic Charities of Northern Nevada,Catholic Charities of the Archdiocese of Omaha",,"
			tel: (800) 919-9338",Catholic Charities USA,http://www.catholiccharitiesusa.org,97.00,,89.18,"
		
			2050 Ballenger Ave,
			Suite 400, Alexandria, VA 22314"
